id,y
0,57.6150
1,75.6630
2,71.3700
3,76.7630
4,71.9220
5,54.6350
6,61.9290
7,73.1630
8,66.7780
9,59.4520
10,77.7130
11,78.0430
12,57.0870
13,72.1670
14,75.8390
15,64.0590
16,76.1400
17,71.0870
18,66.0850
19,65.0900
20,60.1140
21,52.6770
22,77.8170
23,82.2600
24,68.1260
25,75.2850
26,76.2780
27,73.2210
28,70.6040
29,66.6010
30,65.9610
31,73.8000
32,69.6580
33,68.8990
34,68.1150
35,57.4200
36,63.0800
37,78.7100
38,67.1270
39,68.1940
40,66.6270
41,66.1630
42,71.1480
43,71.8520
44,54.2160
45,73.9810
46,60.1540
47,76.5920
48,76.4640
49,80.0430
50,79.7590
51,64.5220
52,80.9990
53,78.2470
54,75.6810
55,82.6760
56,73.9820
57,74.2050
58,67.7970
59,70.8240
60,73.3460
61,67.6300
62,67.8210
63,74.7840
64,78.3680
65,62.6500
66,72.7370
67,56.6130
68,80.2700
69,81.9690
70,66.4140
71,74.1160
72,69.8130
73,74.0440
74,62.8650
75,64.0880
76,78.2470
77,67.7350
78,73.2140
79,55.3950
80,80.2930
81,74.5880
82,71.6390
83,65.5400
84,77.4480
85,73.6310
86,69.0760
87,67.3150
88,68.1660
89,57.8830
90,65.6160
91,71.8420
92,74.4970
93,64.8880
94,73.7990
95,80.9070
96,71.8570
97,56.2970
98,54.2500
99,78.5210
100,74.3770
101,66.8090
102,56.9380
103,77.3690
104,80.2710
105,64.5340
106,67.6000
107,79.3420
108,73.1310
109,73.9800
110,71.7910
111,67.5030
112,67.3390
113,68.9500
114,64.3020
115,83.9260
116,74.7290
117,73.6910
118,71.0200
119,76.3440
120,75.2430
121,70.5340
122,69.1810
123,82.2410
124,75.2350
125,73.2060
126,54.5350
127,71.1250
128,81.1750
129,75.2740
130,76.3620
131,64.4750
132,77.2620
133,73.0190
134,71.7850
135,73.5560
136,63.4380
137,74.0400
138,63.9190
139,82.8070
140,77.5500
141,71.4800
142,74.6070
143,66.9230
144,70.6590
145,59.4250
146,70.5160
147,75.9230
148,78.0890
149,70.8110
150,64.6320
151,75.4710
152,66.9000
153,72.5470
154,60.7940
155,66.7780
156,71.3740
157,68.0200
158,84.0690
159,65.6240
160,81.8920
161,64.5490
162,64.3910
163,64.0540
164,78.1410
165,68.5200
166,72.0120
167,70.1600
168,66.2750
169,73.9660
170,80.9980
171,68.8870
172,72.4530
173,76.7830
