id,y
0,57.3310
1,76.5490
2,73.3350
3,75.3130
4,72.4960
5,56.6080
6,60.2210
7,71.2880
8,63.3500
9,60.6210
10,74.9900
11,75.3640
12,60.4340
13,71.2060
14,76.1500
15,63.3670
16,76.1400
17,71.2660
18,65.1980
19,61.4400
20,61.0680
21,55.0060
22,79.5630
23,82.9470
24,66.2200
25,75.6160
26,76.4550
27,73.3460
28,69.4340
29,63.8040
30,64.9120
31,75.9200
32,71.5940
33,67.7260
34,67.8410
35,60.9800
36,64.0320
37,76.1370
38,66.4650
39,63.6160
40,67.3730
41,65.9520
42,69.4460
43,70.0790
44,54.8630
45,75.5820
46,61.5190
47,77.2780
48,75.2260
49,81.3290
50,81.4470
51,66.6440
52,80.8240
53,75.8240
54,74.9060
55,82.9030
56,74.9930
57,73.1980
58,67.0380
59,72.5340
60,72.4800
61,69.3930
62,65.9120
63,75.0680
64,76.0350
65,62.2480
66,74.2580
67,56.6780
68,78.8110
69,82.2460
70,63.0830
71,75.1930
72,69.9600
73,75.2680
74,63.3740
75,63.5660
76,75.7630
77,65.1310
78,73.0230
79,56.4590
80,76.6900
81,75.3530
82,71.6190
83,62.4640
84,78.4220
85,71.4220
86,70.7180
87,68.7770
88,71.7900
89,57.4590
90,64.5390
91,70.6500
92,74.4090
93,66.5520
94,76.5700
95,76.5090
96,71.8900
97,57.6080
98,55.7630
99,77.2010
100,75.2180
101,69.7770
102,54.5570
103,78.2320
104,81.0610
105,62.0010
106,70.7100
107,78.1860
108,73.4340
109,73.8720
110,71.6130
111,66.5290
112,72.5320
113,72.5870
114,61.7170
115,83.8320
116,72.6740
117,72.1750
118,71.0890
119,77.1170
120,75.4250
121,70.2520
122,70.2840
123,80.6100
124,74.8270
125,71.5880
126,57.1570
127,72.1350
128,81.0770
129,76.7200
130,74.9490
131,62.5470
132,74.0930
133,71.6600
134,69.0480
135,73.9830
136,63.8050
137,75.2470
138,66.2900
139,83.0330
140,79.7840
141,70.8830
142,74.4040
143,68.9520
144,68.9830
145,60.4730
146,70.2410
147,77.1230
148,76.9880
149,71.5280
150,63.6440
151,74.7360
152,65.1440
153,72.0970
154,60.2920
155,68.3310
156,70.0670
157,69.0060
158,84.4480
159,65.6700
160,82.6760
161,64.0650
162,63.6210
163,61.9860
164,76.4390
165,66.8260
166,73.4940
167,71.1170
168,70.1040
169,74.2860
170,78.2080
171,68.5630
172,71.0390
173,77.1220
174,75.6920
175,67.6550
176,70.4010
177,57.6850
178,77.8240
179,69.7940
180,71.6020
181,65.2210
182,68.5440
183,74.8980
184,80.7750
185,62.3800
186,69.1820
187,70.9040
188,85.1300
189,80.1270
190,54.4380
191,62.6140
192,74.4380
193,54.6130
194,76.7910
195,55.4450
196,64.1880
197,73.5260
198,76.0290
199,75.1700
200,73.2960
201,69.6780
202,73.6690
203,70.1850
204,67.4310
205,75.4560
206,54.9870
207,74.1300
208,62.2350
209,81.2130
210,65.8340
211,68.4560
212,76.4690
213,74.2950
214,77.9540
215,61.1030
216,72.6120
217,68.2470
218,58.5490
219,80.5080
220,64.4540
221,70.0340
222,69.0010
223,70.4370
224,70.3280
225,70.6330
226,72.2130
227,76.1770
228,72.7400
229,67.6150
230,55.3160
231,53.7760
232,73.8450
233,66.3420
234,71.3430
235,61.3260
236,81.4670
237,69.2500
238,73.4640
239,75.0830
240,58.9670
241,66.8770
242,66.4840
243,66.1100
244,68.2070
245,77.0720
246,58.8250
247,71.2000
248,70.9380
249,67.7960
250,71.3470
251,54.3730
252,81.5790
253,72.4760
254,78.5320
255,79.6590
256,57.5780
257,62.5030
258,66.2370
259,75.5440
260,65.9090
261,79.4520
262,71.4840
263,77.5670
264,53.3470
265,73.0820
266,66.4190
267,64.0700
268,82.1490
269,61.9260
270,63.0240
271,83.3710
272,78.7250
273,75.1570
274,78.2150
275,63.9390
276,55.7380
277,72.7100
278,77.1910
279,76.8480
280,68.0170
281,57.2340
282,81.9640
283,71.0800
284,80.3420
285,58.6470
286,80.2920
287,75.7820
288,61.8930
289,71.6090
290,62.7020
291,81.1560
292,72.4060
293,73.6390
294,75.1080
295,75.4040
296,63.8040
297,81.7810
298,75.7270
299,67.4550
300,67.6780
301,80.4980
302,53.4430
303,59.6270
304,69.7980
305,70.9720
306,76.0420
307,64.9080
308,79.6950
309,75.5380
310,70.9590
311,62.8370
312,71.7830
313,66.3140
314,82.3960
315,68.1560
316,74.9140
317,52.6070
318,65.9770
319,77.6610
320,67.6130
321,55.3260
322,75.0740
323,62.2060
324,57.8560
325,71.7790
326,81.3090
327,78.5270
328,65.7700
329,64.7940
330,62.5940
331,68.8060
332,80.9490
333,79.2500
334,78.3600
335,69.3770
336,62.9610
337,54.1060
338,84.1860
339,70.2770
340,75.9790
341,76.4110
342,70.9800
343,80.4630
344,69.9300
345,70.5350
346,79.4070
347,64.5440
348,81.1550
349,65.1580
350,70.8580
351,74.5420
352,71.2570
353,76.1020
354,64.0990
355,69.0740
356,69.2750
357,63.0380
358,54.0130
359,76.4660
360,68.9710
361,73.9540
362,65.1950
363,78.4150
364,71.9690
365,75.0770
366,72.6250
367,62.7170
368,73.0570
369,58.7830
370,80.7820
371,65.8480
372,72.9290
373,74.6930
374,66.3090
375,71.1460
376,75.5410
377,72.5750
378,62.9480
379,74.8990
380,72.2850
381,72.7010
382,70.6260
383,81.3740
384,62.6420
385,76.5730
386,70.1240
387,57.0490
388,64.3250
389,67.6940
390,62.8090
391,59.1840
392,69.5510
393,67.8850
394,57.2920
395,66.7020
396,80.5670
397,63.7380
398,62.5090
399,55.4020
400,70.8900
401,62.2850
402,63.0710
403,80.2020
404,78.3910
405,69.9570
406,71.3610
407,67.1080
408,61.2930
409,62.1950
410,76.2700
411,56.0030
412,61.6440
413,76.8290
414,74.4700
415,56.1590
416,65.7350
417,62.8900
418,64.6360
419,68.6600
420,63.4250
421,63.1670
422,81.4200
423,60.8690
424,80.0810
425,58.2080
426,75.2380
427,61.8640
428,74.9380
429,75.4580
430,70.0140
431,64.2790
432,66.2200
433,75.6700
434,71.6620
435,63.3710
436,57.8550
437,62.9850
438,82.8980
439,55.7100
440,72.4070
441,71.5300
442,74.6270
443,66.8070
444,75.2900
445,62.6730
446,75.3460
447,57.3470
448,75.3000
449,60.0420
450,69.8560
451,75.4710
452,65.9010
