id,y
0,55.8800
1,75.8300
2,67.5800
3,76.2700
4,72.9600
5,53.2900
6,63.2600
7,74.4100
8,66.1600
9,56.6000
10,77.3500
11,75.5100
12,57.7100
13,71.7900
14,74.8800
15,64.6000
16,77.1000
17,69.8000
18,65.4200
19,66.3400
20,60.0200
21,53.6600
22,73.2700
23,78.3700
24,69.1100
25,73.3600
26,74.3500
27,73.9000
28,69.4200
29,67.1800
30,64.4300
31,73.7000
32,70.5400
33,70.8600
34,67.8600
35,58.1900
36,62.9100
37,78.8300
38,64.9600
39,67.5500
40,66.8100
41,64.3400
42,74.2600
43,72.6400
44,55.0700
45,76.4800
46,62.8800
47,78.4100
48,77.5500
49,82.1000
50,73.9500
51,64.0800
52,82.1900
53,77.3200
54,73.8700
55,85.7300
56,73.8900
57,74.3600
58,66.3700
59,73.2300
60,72.3000
61,65.2200
62,66.9900
63,75.9600
64,74.7200
65,60.8800
66,72.2800
67,55.0600
68,81.2700
69,80.0800
70,64.0200
71,72.8900
72,70.1100
73,75.8300
74,62.7500
75,62.7200
76,81.1900
77,69.8600
78,73.1200
79,55.3300
80,81.8600
81,73.3400
82,71.8100
83,64.1400
84,77.5300
85,74.0300
86,70.1400
87,64.9200
88,68.5500
89,60.9500
90,66.4100
91,76.3600
92,73.2200
93,65.3100
94,76.4500
95,80.6400
96,72.5100
97,58.7400
98,53.8300
99,77.9800
100,73.7700
101,67.6300
102,57.9600
103,78.1600
104,81.5100
105,62.2600
106,65.8700
107,82.4500
108,73.5800
109,72.8300
110,72.9400
111,66.0100
112,69.2000
113,67.6100
114,63.1800
115,87.3400
116,76.0400
117,70.8300
118,73.7000
119,76.7900
120,76.9400
121,74.1300
122,67.2600
123,77.9500
124,75.8900
125,72.7100
126,58.8500
127,68.5800
128,84.1100
129,75.2500
130,74.8600
131,63.5700
132,77.6200
133,72.4900
134,70.4200
135,71.9200
136,64.5900
137,74.2700
138,65.3800
139,84.5400
140,76.8100
141,71.0300
142,76.5800
143,70.4600
144,71.3300
145,63.0200
146,74.2200
147,76.9600
148,78.9600
149,70.7800
